Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,2456,08/11/2017,11/11/2017,2,143,166,0,0,194,15,42420.0,2,12,0,4,386,261.96
2,2456,08/11/2017,11/11/2017,2,143,166,0,0,194,15,42420.0,2,55,0,5,838,731.94
3,2254,12/06/2017,16/06/2017,2,237,201,1,0,265,3,90036.0,3,946,1,10,1432,14.62
4,4295,11/10/2016,18/10/2016,3,705,687,0,0,153,8,33311.0,2,319,0,16,366,957.5775
5,4295,11/10/2016,18/10/2016,3,705,687,0,0,153,8,33311.0,2,1316,1,14,573,22.368
6,194,09/06/2015,14/06/2015,3,88,113,0,0,265,3,90032.0,3,185,0,9,570,48.86
7,194,09/06/2015,14/06/2015,3,88,113,0,0,265,3,90032.0,3,562,1,2,1128,7.28
8,194,09/06/2015,14/06/2015,3,88,113,0,0,265,3,90032.0,3,1760,2,13,1091,907.152
9,194,09/06/2015,14/06/2015,3,88,113,0,0,265,3,90032.0,3,794,1,3,499,18.504
10,194,09/06/2015,14/06/2015,3,88,113,0,0,265,3,90032.0,3,437,1,1,302,114.9
11,194,09/06/2015,14/06/2015,3,88,113,0,0,265,3,90032.0,3,328,0,16,427,1706.184
12,194,09/06/2015,14/06/2015,3,88,113,0,0,265,3,90032.0,3,1749,2,13,964,911.424
13,3035,15/04/2018,20/04/2018,3,2,31,0,0,96,31,28027.0,2,1167,1,12,1755,15.552
14,2612,05/12/2017,10/12/2017,3,338,336,0,0,450,45,98103.0,3,781,1,3,647,407.976
15,4312,22/11/2016,26/11/2016,3,330,319,2,0,154,41,76106.0,0,421,1,1,821,68.81
16,4312,22/11/2016,26/11/2016,3,330,319,2,0,154,41,76106.0,0,663,1,3,1511,2.544
17,81,11/11/2015,18/11/2015,3,597,603,0,0,271,47,53711.0,0,1407,1,14,1517,665.88
18,758,13/05/2015,15/05/2015,2,18,17,0,0,511,42,84084.0,3,1294,1,14,659,55.5
19,516,27/08/2015,01/09/2015,2,792,792,0,0,436,3,94109.0,3,567,1,2,1149,8.56
20,516,27/08/2015,01/09/2015,2,792,792,0,0,436,3,94109.0,3,1748,2,13,436,213.48
21,516,27/08/2015,01/09/2015,2,792,792,0,0,436,3,94109.0,3,730,1,3,1632,22.72
22,2235,09/12/2017,13/12/2017,3,417,437,1,0,158,25,68025.0,0,477,1,2,1123,19.46
23,2235,09/12/2017,13/12/2017,3,417,437,1,0,158,25,68025.0,0,408,1,1,78,60.34
24,4875,16/07/2018,18/07/2018,2,684,669,0,0,372,36,19140.0,1,95,0,5,745,71.372
25,868,25/09/2016,30/09/2016,3,249,256,0,0,349,42,84057.0,3,319,0,16,366,1044.63
26,2001,16/01/2017,20/01/2017,2,258,261,0,0,265,3,90049.0,3,702,1,3,1623,11.648
27,2001,16/01/2017,20/01/2017,2,258,261,0,0,265,3,90049.0,3,1545,2,0,913,90.57
28,4379,17/09/2016,21/09/2016,3,738,765,0,0,372,36,19140.0,1,48,0,4,1350,3083.43
29,4379,17/09/2016,21/09/2016,3,738,765,0,0,372,36,19140.0,1,655,1,3,265,9.618
30,4379,17/09/2016,21/09/2016,3,738,765,0,0,372,36,19140.0,1,310,0,9,880,124.2
31,4379,17/09/2016,21/09/2016,3,738,765,0,0,372,36,19140.0,1,860,1,7,1283,3.264
32,4379,17/09/2016,21/09/2016,3,738,765,0,0,372,36,19140.0,1,610,1,2,279,86.304
